,Product Name,Cost, Rating,Reviews,Product URL
26,"POLESTAR Vintage 15.6 inch 32 LTR Casual Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Backpack, Water Resistant and Light Weight, 1 year Warranty",549,3.9 out of 5 stars,"8,844",www.amazon.in/POLESTAR-Vintage-Laptop-Backpack-bagpack/dp/B081GSQ9D9/ref=sr_1_31?crid=2M096C61O4MLT&keywords=bags&qid=1685206988&sprefix=ba%2Caps%2C283&sr=8-31
27,Zipline Unisex casual polyester 36 L Backpack School Bag Women Men Boys Girls children Daypack College Bag Book School Sports Bag Weekend Bag,834,4.0 out of 5 stars,"5,583",www.amazon.in/ZIPLINE-Polyester-Backpack-Children-Daypack/dp/B07XVMR33Q/ref=sr_1_32?crid=2M096C61O4MLT&keywords=bags&qid=1685206988&sprefix=ba%2Caps%2C283&sr=8-32
28,"Safari Quill Laptop Backpack 26 Ltrs Water Resistant Fabric - Black, L (QUILL19CBBLK)",849,3.9 out of 5 stars,852,www.amazon.in/Safari-Laptop-Backpack-Resistant-Fabric/dp/B09B25Z8M2/ref=sr_1_33?crid=2M096C61O4MLT&keywords=bags&qid=1685206988&sprefix=ba%2Caps%2C283&sr=8-33
29,"Safari Quill Laptop Backpack 26 Ltrs Water Resistant Fabric - Blue, L (QUILL19CBBLU)",849,4.0 out of 5 stars,604,www.amazon.in/Safari-Laptop-Backpack-Resistant-Fabric/dp/B09B28TKLG/ref=sr_1_34?crid=2M096C61O4MLT&keywords=bags&qid=1685206988&sprefix=ba%2Caps%2C283&sr=8-34
30,Zipline Unisex Casual Polyester 36 L Backpack School Bag Women Men Boys Girls Children Daypack College Bag Book School Sports Bag,843,3.7 out of 5 stars,830,www.amazon.in/Zipline-Nexa-Resistant-Bagpack-Backpack/dp/B08WQ668WJ/ref=sr_1_35?crid=2M096C61O4MLT&keywords=bags&qid=1685206988&sprefix=ba%2Caps%2C283&sr=8-35
31,ADISA Light Weight Laptop Backpack 32 Ltrs,499,4.0 out of 5 stars,"5,865",www.amazon.in/ADISA-BP005-Weight-Casual-Backpack/dp/B07F3X45WZ/ref=sr_1_36?crid=2M096C61O4MLT&keywords=bags&qid=1685206988&sprefix=ba%2Caps%2C283&sr=8-36
32,"Wesley Unisex Milestone Casual Waterproof Laptop Office School College Business Travel Backpack 25 L (Dimensions: 12.5x18 inches) (Compatible with 15.6 inch laptops), Navy Blue",425,4.3 out of 5 stars,"12,775",www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B07K8KLB3P/ref=sr_1_35?crid=2M096C61O4MLT&keywords=bags&qid=1685206990&sprefix=ba%2Caps%2C283&sr=8-35
33,"Fur Jaden 55 LTR Rucksack Travel Backpack Bag for Trekking, Hiking with Shoe Compartment",849,4.3 out of 5 stars,"5,217",www.amazon.in/gp/bestsellers/luggage/1984997031/ref=sr_bs_3_1984997031_1
34,FUR JADEN Anti Theft Backpack 15.6 Inch Laptop Bag with USB Charging Port For Men Women Boys Girls,899,4.0 out of 5 stars,"11,085",www.amazon.in/Fur-Jaden-Black-Waterproof-Backpack/dp/B078GLXMDY/ref=sr_1_37?crid=2M096C61O4MLT&keywords=bags&qid=1685206990&sprefix=ba%2Caps%2C283&sr=8-37
35,Half Moon Aztec 37L School Bag Class 5-12 | College Bagpack for Men/College Back pack for Women | 15.6 inch Laptop Bag for Men/Backpack for Men | Spacious & Multiple Pockets,549,4.4 out of 5 stars,15,www.amazon.in/Half-Moon-Backpack-Spacious-Multiple/dp/B0C23Z9W18/ref=sr_1_38?crid=2M096C61O4MLT&keywords=bags&qid=1685206990&sprefix=ba%2Caps%2C283&sr=8-38
36,"Safari Sneak Casual Backpack with USB Charging Port 26 Ltrs Water Resistant Fabric - Grey, L (SNEAK19CBGRE)",949,3.7 out of 5 stars,928,www.amazon.in/Safari-Casual-Backpack-Charging-Resistant/dp/B09B2581S9/ref=sr_1_39?crid=2M096C61O4MLT&keywords=bags&qid=1685206990&sprefix=ba%2Caps%2C283&sr=8-39
37,"Genie Glitter Backpack for Women - 3 compartments, Laptop Bags for Girls, Stylish and Trendy College Backpacks for Girls, Water Resistant and Lightweight Bags for Office and Travelling Purpose.",889,4.3 out of 5 stars,692,www.amazon.in/Genie-Glitter-Backpack-Women-compartments/dp/B097JHQH13/ref=sr_1_40?crid=2M096C61O4MLT&keywords=bags&qid=1685206990&sprefix=ba%2Caps%2C283&sr=8-40
38,ADISA Laptop Backpack 31 Ltrs,499,4.0 out of 5 stars,"9,292",www.amazon.in/ADISA-BP004-Weight-Casual-Backpack/dp/B07G3CG9FC/ref=sr_1_41?crid=2M096C61O4MLT&keywords=bags&qid=1685206990&sprefix=ba%2Caps%2C283&sr=8-41
39,NORTH ZONE Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L,569,4.0 out of 5 stars,320,www.amazon.in/NORTH-ZONE-Waterproof-Backpack-Dimensions/dp/B0BS6QQZYN/ref=sr_1_42?crid=2M096C61O4MLT&keywords=bags&qid=1685206990&sprefix=ba%2Caps%2C283&sr=8-42
40,"Artistix Talon Anti Theft Design Laptop Backpack, With USB Charging Port (46 Cm, 25L,Black)",999,4.3 out of 5 stars,"3,289",www.amazon.in/Artistix-Backpack-Anti-Theft-Charging-Resistance/dp/B082PKX18C/ref=sr_1_45?crid=2M096C61O4MLT&keywords=bags&qid=1685206990&sprefix=ba%2Caps%2C283&sr=8-45
